2026-05-10 19:51:53 INFO     publications-rag MCP server initialised
2026-05-10 19:53:51 INFO     publications-rag MCP server initialised
2026-05-10 19:54:12 INFO     publications-rag MCP server initialised
2026-05-10 19:55:21 INFO     publications-rag MCP server initialised
2026-05-10 19:56:37 INFO     publications-rag MCP server initialised
2026-05-10 20:18:18 INFO     publications-rag MCP server initialised
2026-05-10 20:18:56 INFO     sync() started
2026-05-10 20:18:56 INFO     Found 31 PDFs on disk, 31 sources in index
2026-05-10 20:18:57 DEBUG    No pending chunks to embed
2026-05-10 20:18:57 INFO     sync() done — added=0 reindexed=0 removed=0 unchanged=31 embedded=0
2026-05-10 20:19:09 INFO     search() query='task-aware knowledge graph construction from text' files=None n=5
2026-05-10 20:19:13 INFO     search() returned 5 hits via cosine
2026-05-10 20:29:44 INFO     search() query='lexico-syntactic patterns hyponymy acquisition concept hierarchies' files=['hearst_1992_hyponyms.pdf'] n=4
2026-05-10 20:29:44 INFO     search() returned 4 hits via cosine
2026-05-10 20:29:45 INFO     search() query='KG construction population enrichment rule-based distant supervision embedding' files=['hogan_2021_kg_survey.pdf'] n=4
2026-05-10 20:29:47 INFO     search() returned 4 hits via cosine
2026-05-10 20:29:47 INFO     search() query='ontology learning concept hierarchy induction from text corpora linguistic stati' files=None n=5
2026-05-10 20:29:48 INFO     search() returned 5 hits via cosine
2026-05-10 20:36:28 INFO     search() query='LLM KG construction fixed ontology schema entity relation extraction pipeline' files=['pan_2024_llm_kg.pdf', 'mo_2025_kggen.pdf', 'zhang_2022_generative_kg.pdf'] n=4
2026-05-10 20:36:29 INFO     search() returned 4 hits via cosine
2026-05-10 20:36:29 INFO     search() query='ontology maintenance evaluation downstream task performance open direction LLM o' files=['li_2025_llm_oe_review.pdf'] n=5
2026-05-10 20:36:30 INFO     search() returned 5 hits via cosine
2026-05-10 20:36:31 INFO     search() query='knowledge graph quality intrinsic evaluation completeness consistency concisenes' files=['paulheim_2017_kg_refinement.pdf', 'seo_2023_structural_quality.pdf'] n=4
2026-05-10 20:36:31 INFO     search() returned 4 hits via cosine
2026-05-10 20:36:32 INFO     search() query='task-based KG evaluation downstream performance benchmark KG variants lifecycle ' files=['heist_2023_kgreat.pdf', 'bloem_2021_kgbench.pdf', 'mynarz_2023_testdriven.pdf'] n=5
2026-05-10 20:36:32 INFO     search() returned 5 hits via cosine
2026-05-10 20:36:33 INFO     search() query='task-aware graph construction GNN performance topology optimisation downstream l' files=['cucumides_2025_augraph.pdf', 'arun_2025_finreflectkg.pdf'] n=4
2026-05-10 20:36:33 INFO     search() returned 4 hits via cosine
2026-05-10 20:36:34 INFO     search() query='metapath heterogeneous graph typed paths relational semantics PathSim similarity' files=['sun_2011_pathsim.pdf', 'dong_2017_metapath2vec.pdf', 'schlichtkrull_2018_rgcn.pdf'] n=4
2026-05-10 20:36:35 INFO     search() returned 4 hits via cosine
2026-05-10 20:36:39 INFO     search() query='FinReflectKG financial knowledge graph agentic evaluation qualitative feedback l' files=['arun_2025_finreflectkg.pdf'] n=4
2026-05-10 20:36:39 INFO     search() returned 4 hits via cosine
2026-05-10 20:36:40 INFO     search() query='R-GCN relational graph convolutional network multi-relational link prediction en' files=['schlichtkrull_2018_rgcn.pdf'] n=4
2026-05-10 20:36:40 INFO     search() returned 4 hits via cosine
2026-05-10 20:37:57 INFO     search() query='KGGen entity disambiguation improved extraction language model knowledge graph' files=['mo_2025_kggen.pdf'] n=4
2026-05-10 20:37:58 INFO     search() returned 4 hits via cosine
2026-05-10 20:37:58 INFO     search() query='reinforcement learning KG construction reward graph quality signal end-to-end' files=['tsang_2025_autograph_r1.pdf'] n=4
